"omics","mediator","a","p_a","q_a","b","p_b","selected_by_screen","selected_by_sis","score","abs_score","joint_p_ab","p_primary","q_primary_within_view","q_primary","p_primary_model_based","q_primary_global"
"species","GGB9342_SGB14306|t__SGB14306",-0.646167555289164,0.0510745674187337,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Bacteroides_fragilis|t__SGB1853",0.645794502182133,0.0512166712227552,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Adlercreutzia_equolifaciens|t__SGB14797_group",0.642469687954527,0.052497172287476,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9532_SGB14933|t__SGB14933",-0.641746875888694,0.0527789056289325,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Parabacteroides_goldsteinii|t__SGB1941",0.637448790275916,0.0544791982598781,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Christensenella_minuta|t__SGB14142",-0.633186754877821,0.0562080317839349,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Candidatus_Avimicrobium_caecorum|t__SGB15350",-0.633040276610764,0.0562682148104743,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridium_scindens|t__SGB4630_group",-0.632166484543376,0.0566282918351332,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Blautia_glucerasea|t__SGB4816",0.631262875662945,0.0570025794210232,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Coprococcus_eutactus|t__SGB5117",0.630148440598788,0.0574668976491894,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB3293_SGB4348|t__SGB4348",-0.628175773851258,0.0582961473971516,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Ruminococcus_lactaris|t__SGB4557",-0.62654090563737,0.058990565616826,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9501_SGB14898|t__SGB14898",-0.626280828391684,0.0591016366642874,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Paraprevotella_clara|t__SGB1798",-0.624302273097581,0.0599520537947438,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridium_sp_OM07_10AC|t__SGB4655",0.623464627513436,0.060314994959509,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9602_SGB15031|t__SGB15031",0.619718419422128,0.0619595120761879,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
